date,temperature,humidity,lumnosity
2022-11-27 12:58:04.612,25.0,49.4,254
2022-11-27 12:58:02.968,25.0,49.2,254
2022-11-27 12:58:01.325,25.0,49.1,254
2022-11-27 12:57:59.683,25.0,49.2,254
2022-11-27 12:57:58.040,25.0,49.0,253
2022-11-27 12:57:56.396,25.0,49.1,254
2022-11-27 12:57:54.753,25.0,49.0,254
2022-11-27 12:57:53.111,25.0,48.8,254
2022-11-27 12:57:51.468,25.0,48.8,254
2022-11-27 12:57:49.824,25.0,48.2,254
2022-11-27 12:57:48.181,25.0,48.8,251
2022-11-27 12:57:46.537,25.0,48.0,249
2022-11-27 12:57:44.894,25.0,48.6,250
2022-11-27 12:57:43.251,25.0,48.7,254
2022-11-27 12:57:41.608,25.0,48.9,254
2022-11-27 12:57:39.964,25.0,48.9,255
2022-11-27 12:57:38.321,25.0,48.0,254
2022-11-27 12:57:36.677,25.0,48.3,254
2022-11-27 12:57:35.034,25.0,48.2,254
2022-11-27 12:57:33.391,25.0,48.5,255
2022-11-27 12:57:31.746,25.0,48.4,255
2022-11-27 12:57:30.104,25.0,48.5,254
2022-11-27 12:57:28.461,25.0,48.2,254
2022-11-27 12:57:26.817,25.0,48.1,253
2022-11-27 12:57:25.175,25.0,48.8,254
2022-11-27 12:57:23.532,26.9,48.8,253
2022-11-27 12:57:21.889,25.0,48.7,253
2022-11-27 12:57:20.244,25.0,48.7,254
2022-11-27 12:57:18.601,25.0,48.7,253
2022-11-27 12:57:16.957,26.9,48.6,254
2022-11-27 12:57:15.313,25.0,48.1,254
2022-11-27 12:57:13.670,25.0,47.7,254
2022-11-27 12:57:12.026,25.0,47.7,254
2022-11-27 12:57:10.383,25.0,47.5,254
2022-11-27 12:57:08.740,25.0,47.6,253
2022-11-27 12:57:07.096,25.0,47.7,253
2022-11-27 12:57:05.452,25.0,47.7,253
2022-11-27 12:57:03.808,25.0,47.8,253
2022-11-27 12:57:02.164,25.0,47.9,253
2022-11-27 12:57:00.521,25.0,47.8,253
2022-11-27 12:56:58.878,25.0,48.1,252
2022-11-27 12:56:57.235,25.0,47.9,251
2022-11-27 12:56:55.592,25.0,48.2,253
2022-11-27 12:56:53.948,25.0,48.2,251
2022-11-27 12:56:52.306,25.0,48.2,251
2022-11-27 12:56:50.663,25.0,48.5,250
2022-11-27 12:56:49.019,25.0,48.5,250
2022-11-27 12:56:47.377,25.0,48.7,252
2022-11-27 12:56:45.734,25.0,48.7,251
2022-11-27 12:56:44.091,25.0,48.7,253
2022-11-27 12:56:42.448,25.0,48.0,254
2022-11-27 12:56:40.805,25.0,48.9,253
2022-11-27 12:56:39.162,25.0,48.9,254
2022-11-27 12:56:37.519,25.0,48.9,253
2022-11-27 12:56:35.876,25.0,48.2,253
2022-11-27 12:56:34.232,25.0,48.1,252
2022-11-27 12:56:32.588,25.0,48.2,253
2022-11-27 12:56:30.944,25.0,48.1,254
2022-11-27 12:56:29.301,25.0,48.1,252
2022-11-27 12:56:27.658,25.0,48.3,253
2022-11-27 12:56:26.015,26.9,48.2,252
2022-11-27 12:56:26.371,25.0,48.4,253
2022-11-27 12:56:22.728,25.0,48.6,253
2022-11-27 12:56:21.084,25.0,48.5,253
2022-11-27 12:56:19.440,25.0,48.5,253
2022-11-27 12:56:17.797,25.0,48.6,254
2022-11-27 12:56:16.153,25.0,48.6,254
2022-11-27 12:56:14.510,25.0,48.7,254
2022-11-27 12:56:12.866,25.0,48.7,253
2022-11-27 12:56:11.223,25.0,48.7,251
2022-11-27 12:56:09.579,25.0,48.0,252
2022-11-27 12:56:07.936,25.0,48.6,251
2022-11-27 12:56:06.293,25.0,48.0,252
2022-11-27 12:56:04.650,25.0,48.1,253
2022-11-27 12:56:03.007,25.0,48.9,253
2022-11-27 12:56:01.364,25.0,48.1,252
2022-11-27 12:55:59.721,25.0,48.2,253
2022-11-27 12:55:58.078,25.0,48.2,253
2022-11-27 12:55:56.435,25.0,48.3,253
2022-11-27 12:55:54.793,25.0,48.3,252
2022-11-27 12:55:53.149,25.0,48.3,251
2022-11-27 12:55:51.505,25.0,48.2,251
2022-11-27 12:55:49.862,25.0,48.4,250
2022-11-27 12:55:48.218,25.0,48.5,249
2022-11-27 12:55:46.574,25.0,48.4,251
2022-11-27 12:55:44.931,25.0,48.3,252
2022-11-27 12:55:43.289,25.0,48.2,253
2022-11-27 12:55:41.646,25.0,48.2,254
2022-11-27 12:55:40.002,25.0,48.2,255
2022-11-27 12:55:38.360,25.0,48.1,255
2022-11-27 12:55:36.717,25.0,48.8,255
2022-11-27 12:55:35.072,25.0,48.6,255
2022-11-27 12:55:33.430,25.0,48.4,256
2022-11-27 12:55:31.785,25.0,48.4,255
