date,temperature,humidity,luminosity
2022-11-26 17:18:04.894,26.0,45.7,243
2022-11-26 17:18:03.616,26.0,45.7,241
2022-11-26 17:18:02.617,26.0,45.7,242
2022-11-26 17:18:01.339,26.0,45.8,243
2022-11-26 17:18:00.339,26.0,45.8,243
2022-11-26 17:17:49.061,26.0,45.8,241
2022-11-26 17:17:48.057,26.0,45.8,242
2022-11-26 17:17:46.783,26.0,45.9,243
2022-11-26 17:17:45.780,26.0,45.9,243
2022-11-26 17:17:44.502,26.0,46.0,242
2022-11-26 17:17:43.502,26.0,46.0,242
2022-11-26 17:17:42.224,26.0,46.1,244
2022-11-26 17:17:41.225,26.0,46.1,244
2022-11-26 17:17:39.947,26.1,46.2,242
2022-11-26 17:17:38.943,26.1,46.2,243
2022-11-26 17:17:37.669,26.0,46.2,244
2022-11-26 17:17:36.665,26.0,46.2,243
2022-11-26 17:17:35.391,26.0,46.3,242
2022-11-26 17:17:34.387,26.0,46.3,243
2022-11-26 17:17:33.110,26.0,46.4,243
2022-11-26 17:17:32.110,26.0,46.4,243
2022-11-26 17:17:30.832,26.0,46.4,242
2022-11-26 17:17:39.828,26.0,46.4,243
2022-11-26 17:17:38.554,26.0,46.5,243
2022-11-26 17:17:37.551,26.0,46.5,241
2022-11-26 17:17:36.276,26.0,46.6,242
2022-11-26 17:17:35.273,26.0,46.6,243
2022-11-26 17:17:33.995,26.0,46.6,243
2022-11-26 17:17:32.995,26.0,46.6,241
2022-11-26 17:17:31.717,26.0,46.7,241
2022-11-26 17:17:30.718,26.0,46.7,242
2022-11-26 17:17:29.440,26.0,46.7,243
2022-11-26 17:17:28.436,26.0,46.7,242
2022-11-26 17:17:27.162,26.0,46.7,242
2022-11-26 17:17:26.158,26.0,46.7,244
2022-11-26 17:17:24.880,26.0,46.8,243
2022-11-26 17:17:23.881,26.0,46.8,242
2022-11-26 17:17:22.603,26.0,46.8,242
2022-11-26 17:17:21.599,26.0,46.8,244
2022-11-26 17:17:20.325,26.0,46.9,243
2022-11-26 17:17:19.321,26.0,46.9,242
2022-11-26 17:17:18.047,26.0,47.0,242
2022-11-26 17:17:17.044,26.0,47.0,243
2022-11-26 17:17:15.765,26.0,47.1,242
2022-11-26 17:17:14.766,26.0,47.1,241
2022-11-26 17:17:13.488,26.0,47.1,242
2022-11-26 17:17:12.488,26.0,47.1,241
2022-11-26 17:17:11.210,26.0,47.1,241
2022-11-26 17:17:10.207,26.0,47.1,240
2022-11-26 17:17:08.932,26.0,47.0,242
2022-11-26 17:17:07.929,26.0,47.0,243
2022-11-26 17:17:06.651,26.0,47.0,242
2022-11-26 17:17:05.651,26.0,47.0,242
2022-11-26 17:17:04.373,26.0,47.1,243
2022-11-26 17:17:03.374,26.0,47.1,243
